id,pair,mode,ind,p1,p2,cnt,train_sr,winrate,ev,sharpe,dsr,p_val,n_trades,p3,p_adj
0,AUDJPY,Normal,WillR,150,-80.0,820,0.13702528384008025,0.5002038652858192,2.4031146e-06,0.13702528893330806,0.0,4.3580260669973114e-05,820,,5.801401156634924e-05
1,AUDJPY,Normal,WillR,150,-75.0,934,0.13528634803421793,0.5002129169623847,2.3081964e-06,0.1352864031835315,0.0,1.7783027276951913e-05,934,,2.495777466390732e-05
2,AUDJPY,Normal,WillR,300,-85.0,404,0.1004727717936916,0.49950405507905943,1.8360552e-06,0.10047277299249974,1.5605684283849865e-293,0.021718794134934605,404,,0.02218310210419535
3,AUDJPY,Normal,Stoch,150,20.0,820,0.13702528384008025,0.5002038652858192,2.4031146e-06,0.13702528893330806,0.0,4.3580260669973114e-05,820,1.0,5.801401156634924e-05
4,AUDJPY,Normal,Stoch,150,25.0,934,0.13528634803421793,0.5002129169623847,2.3081964e-06,0.1352864031835315,0.0,1.7783027276951913e-05,934,1.0,2.495777466390732e-05
5,AUDJPY,Normal,Stoch,150,20.0,820,0.13702528384008025,0.5002038652858192,2.4031146e-06,0.13702528893330806,0.0,4.3580260669973114e-05,820,2.0,5.801401156634924e-05
6,AUDJPY,Normal,Stoch,150,25.0,934,0.13528634803421793,0.5002129169623847,2.3081964e-06,0.1352864031835315,0.0,1.7783027276951913e-05,934,2.0,2.495777466390732e-05
7,AUDJPY,Normal,Stoch,150,20.0,820,0.13702528384008025,0.5002038652858192,2.4031146e-06,0.13702528893330806,0.0,4.3580260669973114e-05,820,3.0,5.801401156634924e-05
8,AUDJPY,Normal,Stoch,150,25.0,934,0.13528634803421793,0.5002129169623847,2.3081964e-06,0.1352864031835315,0.0,1.7783027276951913e-05,934,3.0,2.495777466390732e-05
9,AUDJPY,Normal,Stoch,150,20.0,820,0.13702528384008025,0.5002038652858192,2.4031146e-06,0.13702528893330806,0.0,4.3580260669973114e-05,820,4.0,5.801401156634924e-05
10,AUDJPY,Normal,Stoch,150,25.0,934,0.13528634803421793,0.5002129169623847,2.3081964e-06,0.1352864031835315,0.0,1.7783027276951913e-05,934,4.0,2.495777466390732e-05
11,AUDJPY,Normal,Stoch,150,20.0,820,0.13702528384008025,0.5002038652858192,2.4031146e-06,0.13702528893330806,0.0,4.3580260669973114e-05,820,5.0,5.801401156634924e-05
12,AUDJPY,Normal,Stoch,150,25.0,934,0.13528634803421793,0.5002129169623847,2.3081964e-06,0.1352864031835315,0.0,1.7783027276951913e-05,934,5.0,2.495777466390732e-05
13,AUDJPY,Normal,Stoch,150,20.0,820,0.13702528384008025,0.5002038652858192,2.4031146e-06,0.13702528893330806,0.0,4.3580260669973114e-05,820,6.0,5.801401156634924e-05
14,AUDJPY,Normal,Stoch,150,25.0,934,0.13528634803421793,0.5002129169623847,2.3081964e-06,0.1352864031835315,0.0,1.7783027276951913e-05,934,6.0,2.495777466390732e-05
15,AUDJPY,Normal,Stoch,150,20.0,820,0.13702528384008025,0.5002038652858192,2.4031146e-06,0.13702528893330806,0.0,4.3580260669973114e-05,820,7.0,5.801401156634924e-05
16,AUDJPY,Normal,Stoch,150,25.0,934,0.13528634803421793,0.5002129169623847,2.3081964e-06,0.1352864031835315,0.0,1.7783027276951913e-05,934,7.0,2.495777466390732e-05
17,AUDJPY,Normal,Stoch,150,20.0,820,0.13702528384008025,0.5002038652858192,2.4031146e-06,0.13702528893330806,0.0,4.3580260669973114e-05,820,8.0,5.801401156634924e-05
18,AUDJPY,Normal,Stoch,150,25.0,934,0.13528634803421793,0.5002129169623847,2.3081964e-06,0.1352864031835315,0.0,1.7783027276951913e-05,934,8.0,2.495777466390732e-05
19,AUDJPY,Normal,Stoch,150,20.0,820,0.13702528384008025,0.5002038652858192,2.4031146e-06,0.13702528893330806,0.0,4.3580260669973114e-05,820,9.0,5.801401156634924e-05
20,AUDJPY,Normal,Stoch,150,25.0,934,0.13528634803421793,0.5002129169623847,2.3081964e-06,0.1352864031835315,0.0,1.7783027276951913e-05,934,9.0,2.495777466390732e-05
21,AUDJPY,Normal,Stoch,150,20.0,820,0.13702528384008025,0.5002038652858192,2.4031146e-06,0.13702528893330806,0.0,4.3580260669973114e-05,820,10.0,5.801401156634924e-05
22,AUDJPY,Normal,Stoch,150,25.0,934,0.13528634803421793,0.5002129169623847,2.3081964e-06,0.1352864031835315,0.0,1.7783027276951913e-05,934,10.0,2.495777466390732e-05
23,AUDJPY,Normal,Stoch,300,15.0,404,0.1004727717936916,0.49950405507905943,1.8360552e-06,0.10047277299249974,1.5605684283849865e-293,0.021718794134934605,404,1.0,0.02218310210419535
24,AUDJPY,Normal,Stoch,300,15.0,404,0.1004727717936916,0.49950405507905943,1.8360552e-06,0.10047277299249974,1.5605684283849865e-293,0.021718794134934605,404,2.0,0.02218310210419535
25,AUDJPY,Normal,Stoch,300,15.0,404,0.1004727717936916,0.49950405507905943,1.8360552e-06,0.10047277299249974,1.5605684283849865e-293,0.021718794134934605,404,3.0,0.02218310210419535
26,AUDJPY,Normal,Stoch,300,15.0,404,0.1004727717936916,0.49950405507905943,1.8360552e-06,0.10047277299249974,1.5605684283849865e-293,0.021718794134934605,404,4.0,0.02218310210419535
27,AUDJPY,Normal,Stoch,300,15.0,404,0.1004727717936916,0.49950405507905943,1.8360552e-06,0.10047277299249974,1.5605684283849865e-293,0.021718794134934605,404,5.0,0.02218310210419535
28,AUDJPY,Normal,Stoch,300,15.0,404,0.1004727717936916,0.49950405507905943,1.8360552e-06,0.10047277299249974,1.5605684283849865e-293,0.021718794134934605,404,6.0,0.02218310210419535
29,AUDJPY,Normal,Stoch,300,15.0,404,0.1004727717936916,0.49950405507905943,1.8360552e-06,0.10047277299249974,1.5605684283849865e-293,0.021718794134934605,404,7.0,0.02218310210419535
30,AUDJPY,Normal,Stoch,300,15.0,404,0.1004727717936916,0.49950405507905943,1.8360552e-06,0.10047277299249974,1.5605684283849865e-293,0.021718794134934605,404,8.0,0.02218310210419535
31,AUDJPY,Normal,Stoch,300,15.0,404,0.1004727717936916,0.49950405507905943,1.8360552e-06,0.10047277299249974,1.5605684283849865e-293,0.021718794134934605,404,9.0,0.02218310210419535
32,AUDJPY,Normal,Stoch,300,15.0,404,0.1004727717936916,0.49950405507905943,1.8360552e-06,0.10047277299249974,1.5605684283849865e-293,0.021718794134934605,404,10.0,0.02218310210419535
33,AUDJPY,Normal,DynRSI,50,20.0,615,0.3190934648445787,0.5057902973395931,1.6721378e-05,0.3190934840483689,4.9906023612639583e-262,1.2212453270876722e-15,615,3.0,5.588730552943368e-15
34,AUDJPY,Normal,DynRSI,50,30.0,2178,0.10817808237906812,0.5045038638410847,2.5569882e-06,0.10817803551249965,0.0,2.2256948029042434e-07,2178,2.25,3.9774763800115417e-07
35,AUDJPY,Normal,DynRSI,50,50.0,1196,0.11348535823634065,0.5053730799587153,3.0684782e-06,0.11348530914493073,0.0,4.3420949698114164e-05,1196,2.5,5.7874998229799515e-05
36,AUDJPY,Normal,DynRSI,50,80.0,1356,0.14752018756772642,0.503883155140803,3.2620571e-06,0.14752016716511657,0.0,2.782103203369246e-08,1356,2.0,5.537574435936387e-08
37,AUDJPY,Normal,DynRSI,50,80.0,1112,0.2755319354473731,0.5053505985829465,6.604331e-06,0.2755319461420261,0.0,0.0,1112,2.25,0.0
38,AUDJPY,Normal,DynRSI,50,80.0,891,0.26949826500850643,0.50524918547122,7.1846307e-06,0.2694981570840045,0.0,4.440892098500626e-16,891,2.5,2.1279094466135913e-15
39,AUDJPY,Normal,DynRSI,50,80.0,645,0.1640223124241658,0.5036670853762308,5.080655e-06,0.16402226246130072,0.0,1.552341508004318e-05,645,2.75,2.1982942621264024e-05
40,AUDJPY,Normal,DynRSI,50,80.0,463,0.22060312667036622,0.5039236718794106,8.200291e-06,0.22060311758421106,5.935973236960056e-245,1.033233187341942e-06,463,3.0,1.7052679200367903e-06
41,AUDJPY,Normal,DynRSI,50,90.0,1473,0.1012705918669277,0.5032093826711519,2.0976568e-06,0.10127057559968085,0.0,5.080130539714123e-05,1473,1.75,6.705227282771533e-05
42,AUDJPY,Normal,DynRSI,50,90.0,1014,0.2546772229305296,0.5045085105857358,6.1608193e-06,0.2546772134307893,0.0,2.220446049250313e-16,1014,2.25,1.105952936068906e-15
43,AUDJPY,Normal,DynRSI,50,90.0,790,0.2569290362849182,0.5040497857835319,7.0300757e-06,0.2569290156125995,0.0,2.5712765250318625e-13,790,2.5,9.213532849282862e-13
44,AUDJPY,Normal,DynRSI,50,90.0,590,0.30918127680392365,0.5038941772777846,9.691184e-06,0.3091813246577969,2.430793398464739e-241,2.9531932455029164e-14,590,2.75,1.1716740629766072e-13
45,AUDJPY,Normal,DynRSI,50,90.0,426,0.2640777332808951,0.5036913138770331,9.911668e-06,0.2640777781988923,9.121621198787132e-195,2.5113646606733653e-08,426,3.0,5.029884206419874e-08
46,AUDJPY,Normal,DynRSI,50,100.0,1610,0.1405580039989583,0.503671920125423,2.7475012e-06,0.14055794269026559,0.0,8.509419946456376e-09,1610,1.5,1.8132876251376368e-08
47,AUDJPY,Normal,DynRSI,50,100.0,1377,0.18183460889902783,0.5036946722825686,3.7758714e-06,0.1818345879082305,0.0,7.52020667960096e-12,1377,1.75,2.267118873002838e-11
48,AUDJPY,Normal,DynRSI,50,100.0,1144,0.19021994134184309,0.5042287813421041,4.252585e-06,0.19021998482368524,0.0,6.221656523308638e-11,1144,2.0,1.7161867573543616e-10
49,AUDJPY,Normal,DynRSI,50,100.0,930,0.13467515351402967,0.5037687485724437,3.3073834e-06,0.1346751477412823,0.0,2.003809051220884e-05,930,2.25,2.7968453269522465e-05
50,AUDJPY,Normal,DynRSI,50,100.0,738,0.44390779960355675,0.5049820138159361,1.2063307e-05,0.44390790527672924,5.015041997302883e-194,0.0,738,2.5,0.0
51,AUDJPY,Normal,DynRSI,50,100.0,554,0.4527492687252458,0.504832621230348,1.401247e-05,0.452749290278035,2.535860105106339e-152,0.0,554,2.75,0.0
52,AUDJPY,Normal,DynRSI,50,100.0,390,0.4143911920591196,0.5040978808102096,1.5305664e-05,0.4143912820602769,7.3540418710989005e-112,1.1102230246251565e-16,390,3.0,5.649852641344773e-16
53,AUDJPY,Normal,DynRSI,50,110.0,1276,0.19819439296120406,0.503562811039059,4.1381068e-06,0.19819438949942872,0.0,7.222000775186643e-13,1276,1.75,2.4425749700820257e-12
54,AUDJPY,Normal,DynRSI,50,110.0,1078,0.1906474584688005,0.5036750399930823,4.280402e-06,0.19064741820154335,0.0,1.9309498444641804e-10,1078,2.0,5.013473892688128e-10
55,AUDJPY,Normal,DynRSI,50,110.0,884,0.19672204064285884,0.5043833561767824,4.81149e-06,0.1967220566072074,0.0,2.4731725556392803e-09,884,2.25,5.612828045949684e-09
56,AUDJPY,Normal,DynRSI,50,110.0,683,0.3929063238350785,0.5051838810641628,1.0782196e-05,0.3929063358983771,2.1134186433848554e-223,0.0,683,2.5,0.0
